Customer ID;Date;Week;Day;Weekend;Retailer;City;State;Brand;Model;Fuel Type;Segment;Age Group;Income Band;Customer Type;Lead Source;Salesperson;Customers Visited;Test Drives;Contracts Offered;Contracts Signed;Conversion Rate (%);Unit Price (€);Discount (%);Cost Price (€);Revenue(€);Profit(€);Month;Month Number;Year;Weekday Type;Offer Conversion;Visit to Test Drive %;Visit to Signed %;Average Margin per Signed Contract;Column1
CUST_1;02/02/2026;Week 1;Monday;No;Main Auto Hub;Frankfurt;Hesse;BMW;X5;Hybrid;SUV;18-25;Low;Returning;Social Media;Sales_11;153;73;53;18;24.66;58436;2.66;41345;1051848;307638;Feb;2;2026;Weekday;33,96%;47,71%;11,76%;17091,00;Main Auto Hub
CUST_2;25/02/2026;Week 4;Wednesday;No;Rhein Auto Group;Cologne;NRW;Opel;Mokka;Petrol;SUV;18-25;Medium;Returning;Walk-in;Sales_2;243;121;69;24;19.83;21127;13.38;19164;507048;47112;Feb;2;2026;Weekday;34,78%;49,79%;9,88%;1963,00;Rhein Auto Group
CUST_3;09/02/2026;Week 2;Monday;No;Hannover Cars;Hannover;Lower Saxony;BMW;X3;Hybrid;SUV;50+;Low;Returning;Walk-in;Sales_13;271;141;106;43;30.5;67568;5.56;50075;2905424;752199;Feb;2;2026;Weekday;40,57%;52,03%;15,87%;17493,00;Hannover Cars
CUST_4;22/02/2026;Week 4;Sunday;Yes;Saxon Wheels;Dresden;Saxony;Audi;e-tron;Petrol;SUV;26-35;High;New;Referral;Sales_9;203;105;75;27;25.71;51246;4.83;39966;1383642;304560;Feb;2;2026;Weekend;36,00%;51,72%;13,30%;11280,00;Saxon Wheels
CUST_5;11/02/2026;Week 2;Wednesday;No;Autohaus Berlin;Berlin;Berlin;Mercedes;EQE;Petrol;Sedan;36-50;Low;Returning;Website;Sales_13;281;146;113;34;23.29;57760;5.97;41176;1963840;563856;Feb;2;2026;Weekday;30,09%;51,96%;12,10%;16584,00;Autohaus Berlin
CUST_6;21/02/2026;Week 3;Saturday;Yes;Elbe Drive;Hamburg;Hamburg;Opel;Mokka;Diesel;SUV;26-35;High;Returning;Referral;Sales_15;231;88;54;15;17.05;25844;9.46;23754;387660;31350;Feb;2;2026;Weekend;27,78%;38,10%;6,49%;2090,00;Elbe Drive
CUST_7;14/02/2026;Week 2;Saturday;Yes;Saxon Wheels;Dresden;Saxony;BMW;3 Series;Petrol;Sedan;36-50;High;New;Walk-in;Sales_14;142;83;60;22;26.51;63862;2.12;48165;1404964;345334;Feb;2;2026;Weekend;36,67%;58,45%;15,49%;15697,00;Saxon Wheels
CUST_8;16/02/2026;Week 3;Monday;No;Autohaus Berlin;Berlin;Berlin;Opel;Grandland;Electric;SUV;36-50;Low;New;Referral;Sales_3;403;216;125;45;20.83;25974;7.55;23243;1168830;122895;Feb;2;2026;Weekday;36,00%;53,60%;11,17%;2731,00;Autohaus Berlin
CUST_9;02/02/2026;Week 1;Monday;No;Leipzig Mobility;Leipzig;Saxony;VW;T-Roc;Hybrid;SUV;26-35;High;Returning;Referral;Sales_12;324;160;100;26;16.25;27410;10.81;24414;712660;77896;Feb;2;2026;Weekday;26,00%;49,38%;8,02%;2996,00;Leipzig Mobility
CUST_10;02/02/2026;Week 1;Monday;No;Bavaria Motors;Munich;Bavaria;VW;Golf;Hybrid;Hatchback;50+;High;Returning;Social Media;Sales_14;274;117;73;19;16.24;34587;6.82;30609;657153;75582;Feb;2;2026;Weekday;26,03%;42,70%;6,93%;3978,00;Bavaria Motors
